country,company,wiki_url,official_sites,status_note
Australia,Patties Foods,https://en.wikipedia.org/wiki/Patties_Foods,https://www.pattiesfoodgroup.com/,Confirmed
Australia,Retail Food Group,https://en.wikipedia.org/wiki/Retail_Food_Group,http://www.rfg.com.au,Confirmed
Australia,San Remo Macaroni Company,https://en.wikipedia.org/wiki/San_Remo_Macaroni_Company,https://sanremo.com.au/,Confirmed
Australia,Sanitarium,https://en.wikipedia.org/wiki/Sanitarium_Health_Food_Company,,
Australia,Schweppes Australia,https://en.wikipedia.org/wiki/Schweppes_Australia,https://www.asahibeverages.com/,Confirmed
Australia,Snack Brands Australia,https://en.wikipedia.org/wiki/Snack_Brands_Australia,http://snackbrands.com.au/,Confirmed
Australia,So Natural,https://en.wikipedia.org/wiki/So_Natural_(brand),https://web.archive.org/web/20120328064511/http://freedomfoods.stagingserver.com.au/A-Bit-About-Us/Our-Brands/So-Natural.aspx,Confirmed
Australia,Sustagen,https://en.wikipedia.org/wiki/Sustagen,http://www.sustagen.com.au/,Confirmed
Australia,Tassal,https://en.wikipedia.org/wiki/Tassal,http://www.tassal.com.au/,Confirmed
Australia,Thomas Foods International,https://en.wikipedia.org/wiki/Thomas_Foods_International,,
Australia,Three Threes Condiments,https://en.wikipedia.org/wiki/Three_Threes_Condiments,http://www.threethrees.com.au/,Confirmed
Australia,Warrnambool Cheese and Butter,https://en.wikipedia.org/wiki/Warrnambool_Cheese_and_Butter,http://www.wcbf.com.au/,Confirmed
Australia,Weis,https://en.wikipedia.org/wiki/Weis_(frozen_foods_company),http://www.weis.com.au/,Confirmed
Australia,Wendy's Supa Sundaes,https://en.wikipedia.org/wiki/Wendy%27s_Supa_Sundaes,https://wendysmilkbar.com/,Confirmed
Australia,Wesfarmers,https://en.wikipedia.org/wiki/Wesfarmers,http://www.wesfarmers.com.au/,Confirmed
Austria,Agrana,https://en.wikipedia.org/wiki/Agrana,https://www.agrana.com/en/,Confirmed
Austria,Brauerei Ottakringer,https://en.wikipedia.org/wiki/Brauerei_Ottakringer,http://www.ottakringer.at,Confirmed
Austria,Do & Co,https://en.wikipedia.org/wiki/Do_%26_Co,http://www.doco.com,Confirmed
Austria,Julius Meinl,https://en.wikipedia.org/wiki/Julius_Meinl,https://juliusmeinl.com/,Confirmed
Austria,Manner,https://en.wikipedia.org/wiki/Manner_(confectionery),,
Austria,Pez,https://en.wikipedia.org/wiki/Pez,https://www.pez.at,Confirmed
Austria,Rauch,https://en.wikipedia.org/wiki/Rauch_(company),https://www.rauch.cc/,Confirmed
Austria,Red Bull GmbH,https://en.wikipedia.org/wiki/Red_Bull_GmbH,http://www.redbull.com,Confirmed
Azerbaijan,Bahra Biscuit Factory,https://en.wikipedia.org/wiki/Bahra_Biscuit_Factory,,
Azerbaijan,Shollar water,https://en.wikipedia.org/wiki/Shollar_water,,
Azerbaijan,Vinagro,https://en.wikipedia.org/wiki/Vinagro,,
Bangladesh,Kazi Farms Group,https://en.wikipedia.org/wiki/Kazi_Farms_Group,,
Bangladesh,Meghna Group of Industries,https://en.wikipedia.org/wiki/Meghna_Group_of_Industries,,
Bangladesh,PRAN-RFL Group,https://en.wikipedia.org/wiki/PRAN-RFL_Group,,
Belgium,Anheuser-Busch InBev,https://en.wikipedia.org/wiki/Anheuser-Busch_InBev,https://www.ab-inbev.com/,Confirmed
Belgium,Cavalier Chocolate,https://en.wikipedia.org/wiki/Cavalier_Chocolate,,
Belgium,Confiserie Roodthooft,https://en.wikipedia.org/wiki/Confiserie_Roodthooft,http://www.roodthooft.be,Confirmed
Belgium,Delhaize Group,https://en.wikipedia.org/wiki/Delhaize_Group,,
Belgium,Duc d'O,https://en.wikipedia.org/wiki/Duc_d%27O,,
Belgium,Glacio,https://en.wikipedia.org/wiki/Glacio,http://www.glacio.be/,Confirmed
Belgium,John Martin Brewery,https://en.wikipedia.org/wiki/John_Martin_Brewery,,
Belgium,Jules Destrooper,https://en.wikipedia.org/wiki/Jules_Destrooper,http://www.destrooper.com,Confirmed
Belgium,Le Pain Quotidien,https://en.wikipedia.org/wiki/Le_Pain_Quotidien,https://www.lepainquotidien.com/,Confirmed
Belgium,Leonidas,https://en.wikipedia.org/wiki/Leonidas_(chocolate_maker),,
Belgium,Lotus Bakeries,https://en.wikipedia.org/wiki/Lotus_Bakeries,,
Belgium,Meurens,https://en.wikipedia.org/wiki/Meurens,,
Belgium,Neuhaus,https://en.wikipedia.org/wiki/Neuhaus_(chocolatier),http://www.neuhauschocolate.com/index-en.htm/,Confirmed
Belgium,Vanparys,https://en.wikipedia.org/wiki/Vanparys,,
Belgium,Ysco,https://en.wikipedia.org/wiki/Ysco,http://www.ysco.eu/,Confirmed
Brazil,Brazilian Fast Food Corporation,https://en.wikipedia.org/wiki/Brazilian_Fast_Food_Corporation,http://www.bffc.com.br/#0,Confirmed
Brazil,BRF S.A.,https://en.wikipedia.org/wiki/BRF_S.A.,http://www.brf-br.com,Confirmed
Brazil,Garoto,https://en.wikipedia.org/wiki/Garoto,http://www.garoto.com.br,Confirmed
Brazil,Grupo Petrópolis,https://en.wikipedia.org/wiki/Grupo_Petr%C3%B3polis,,
Brazil,International Meal Company,https://en.wikipedia.org/wiki/International_Meal_Company,,
Brazil,JBS S.A.,https://en.wikipedia.org/wiki/JBS_S.A.,http://www.jbs.com.br,Confirmed
Brazil,Marfrig,https://en.wikipedia.org/wiki/Marfrig,http://www.marfrig.com.br,Confirmed
Brazil,Pastifício Selmi,https://en.wikipedia.org/wiki/Pastif%C3%ADcio_Selmi,,
Brazil,Vigor S.A.,https://en.wikipedia.org/wiki/Vigor_S.A.,https://www.vigor.com.br/,Confirmed
Bulgaria,Vitta Foods,https://en.wikipedia.org/wiki/Vitta_Foods,http://vittafoods.bg/Default.aspx?lang=en-US,Confirmed
Canada,Agropur,https://en.wikipedia.org/wiki/Agropur,,
Canada,Bothwell Cheese,https://en.wikipedia.org/wiki/Bothwell_Cheese,http://www.bothwellcheese.com,Confirmed
Canada,Canyon Creek Food Company,https://en.wikipedia.org/wiki/Canyon_Creek_Food_Company,,
Canada,Chapman's,https://en.wikipedia.org/wiki/Chapman%27s,http://www.chapmans.ca/AboutUs/OurStory,Confirmed
Canada,Cott,https://en.wikipedia.org/wiki/Cott,https://www.primobrands.com,Confirmed
Canada,Daiya,https://en.wikipedia.org/wiki/Daiya,,
Canada,Dan-D Foods,https://en.wikipedia.org/wiki/Dan-D_Foods,http://www.dandpak.com/,Confirmed
Canada,Dare Foods,https://en.wikipedia.org/wiki/Dare_Foods,,
Canada,Earth's Own Food Company,https://en.wikipedia.org/wiki/Earth%27s_Own_Food_Company,,
Canada,Ganong Bros.,https://en.wikipedia.org/wiki/Ganong_Bros.,http://www.ganong.com/,Confirmed
Canada,Gay Lea,https://en.wikipedia.org/wiki/Gay_Lea,,
Canada,George Weston Limited,https://en.wikipedia.org/wiki/George_Weston_Limited,https://www.weston.ca/,Confirmed
Canada,Jim Pattison Group,https://en.wikipedia.org/wiki/Jim_Pattison_Group,http://www.jimpattison.com,Confirmed
Canada,Just Us!,https://en.wikipedia.org/wiki/Just_Us!,https://www.justuscoffee.com/,Confirmed
Canada,Kawartha Dairy Company,https://en.wikipedia.org/wiki/Kawartha_Dairy_Company,http://www.kawarthadairy.com/,Confirmed
Canada,Lassonde Industries,https://en.wikipedia.org/wiki/Lassonde_Industries,,
Canada,Laura Secord Chocolates,https://en.wikipedia.org/wiki/Laura_Secord_Chocolates,https://laurasecord.ca/,Confirmed
Canada,Lesters Foods Ltd.,https://en.wikipedia.org/wiki/Lesters_Foods_Ltd.,,
Canada,Liberté_Inc.,https://en.wikipedia.org/wiki/Libert%C3%A9_Inc.,http://www.liberte.ca/,Confirmed
Canada,M&M Food Market,https://en.wikipedia.org/wiki/M%26M_Food_Market,http://www.mmmeatshops.com/en/index.asp,Confirmed
Canada,Maple Leaf Foods,https://en.wikipedia.org/wiki/Maple_Leaf_Foods,https://www.mapleleaf.ca/,Confirmed
Canada,McCain Foods,https://en.wikipedia.org/wiki/McCain_Foods,http://www.mccain.ca,Confirmed
Canada,Metro Inc.,https://en.wikipedia.org/wiki/Metro_Inc.,,
Canada,Mike's Hard Lemonade Co.,https://en.wikipedia.org/wiki/Mike%27s_Hard_Lemonade_Co.,https://www.mikeshard.com/,Confirmed
Canada,MTY Food Group,https://en.wikipedia.org/wiki/MTY_Food_Group,http://www.mtygroup.com,Confirmed
Canada,Nature's Path,https://en.wikipedia.org/wiki/Nature%27s_Path,,
Canada,Naya Waters,https://en.wikipedia.org/wiki/Naya_Waters,http://naya.com/en/,Confirmed
Canada,Olymel,https://en.wikipedia.org/wiki/Olymel,https://www.olymel.com/en/products,Confirmed
Canada,Organic Meadow Cooperative,https://en.wikipedia.org/wiki/Organic_Meadow_Cooperative,,
Canada,Première Moisson,https://en.wikipedia.org/wiki/Premi%C3%A8re_Moisson,http://www.premieremoisson.com/,Confirmed
Canada,Premium Brands Holdings Corporation,https://en.wikipedia.org/wiki/Premium_Brands_Holdings_Corporation,https://premiumbrandsholdings.com/,Confirmed
Canada,Purdy's Chocolates,https://en.wikipedia.org/wiki/Purdy%27s_Chocolates,,
Canada,Purity Factories,https://en.wikipedia.org/wiki/Purity_Factories,https://www.purity.nf.ca,Confirmed
Canada,Recipe Unlimited,https://en.wikipedia.org/wiki/Recipe_Unlimited,https://www.recipeunlimited.com/,Confirmed
Canada,Restaurant Brands International,https://en.wikipedia.org/wiki/Restaurant_Brands_International,https://www.rbi.com,Confirmed
Canada,Rogers Sugar,https://en.wikipedia.org/wiki/Rogers_Sugar,http://www.lanticrogers.com/,Confirmed
Canada,Saputo,https://en.wikipedia.org/wiki/Saputo_Inc.,http://www.saputo.com,Confirmed
Canada,Sobeys,https://en.wikipedia.org/wiki/Sobeys,https://www.sobeys.com,Confirmed
Canada,SunOpta,https://en.wikipedia.org/wiki/SunOpta,,
Canada,Voortman Cookies,https://en.wikipedia.org/wiki/Voortman_Cookies,http://www.voortman.com/,Confirmed
Caribbean,Nomad Foods,https://en.wikipedia.org/wiki/Nomad_Foods,http://www.nomadfoods.com,Confirmed
Chile,Castaño,https://en.wikipedia.org/wiki/Casta%C3%B1o_(bakery),,
Chile,Compañía de las Cervecerías Unidas,https://en.wikipedia.org/wiki/Compa%C3%B1%C3%ADa_de_las_Cervecer%C3%ADas_Unidas,,
Chile,Concha y Toro,https://en.wikipedia.org/wiki/Concha_y_Toro,,
Chile,Cooperativa Agrícola y Lechera de La Unión Limitada,https://en.wikipedia.org/wiki/Cooperativa_Agr%C3%ADcola_y_Lechera_de_La_Uni%C3%B3n_Limitada,,
Chile,IANSA,https://en.wikipedia.org/wiki/IANSA_(company),,
Chile,Soprole,https://en.wikipedia.org/wiki/Soprole,http://www.soprole.cl,Confirmed
China,Amoy Food,https://en.wikipedia.org/wiki/Amoy_Food,https://www.amoy.com/,Confirmed
China,Bright Food,https://en.wikipedia.org/wiki/Bright_Food,,
China,Chaoda Modern Agriculture,https://en.wikipedia.org/wiki/Chaoda_Modern_Agriculture,,
China,COFCO Group,https://en.wikipedia.org/wiki/COFCO_Group,,
China,Convenience Retail Asia,https://en.wikipedia.org/wiki/Convenience_Retail_Asia,,
