country,company,wiki_url,official_sites,possible_official_sites,status_note,company_summary
Africa,Tongaat Hulett,https://en.wikipedia.org/wiki/Tongaat_Hulett,http://www.tongaat.com,,Confirmed,"Tongaat Hulett is a South African agriculture and agri-processing business, focusing on the complementary feedstocks of sugarcane and maize. Headquartered in oThongathi, KwaZulu-Natal, Tongaat Hulett was founded in 1892. The company was formed as a result of a merger between the Tongaat Sugar Compan..."
Argentina,Grupo Arcor,https://en.wikipedia.org/wiki/Grupo_Arcor,https://www.arcor.com/ar/,,Confirmed,"Grupo Arcor is an Argentine food company specializing in confectioneries. The firm was founded on July 5, 1951 in the city of Arroyito, Córdoba. It specializes in the production of foodstuff, sugar and chocolate confectioneries, cookies and ice cream in 39 industrial plants throughout Latin America...."
Argentina,Havanna,https://en.wikipedia.org/wiki/Havanna_(Argentine_company),https://www.havanna.com.ar/,,Confirmed,"Havanna Holding S.A. (mostly known for its trade name Havanna) is an Argentine manufacturer of food products, mostly known for its alfajores. The firm was founded in 1948 by Benjamín Sisterna, Demetrio Elíades, and Luis Sbaraglini and began its activities as a producer of alfajores in the city of Ma..."
Argentina,La Serenísima,https://en.wikipedia.org/wiki/La_Seren%C3%ADsima,https://www.laserenisima.com.ar/,,Confirmed,"Mastellone Hermanos S.A. (mostly known for its trade name: La Serenísima) is an Argentine dairy company headquartered in the city of General Rodríguez in Buenos Aires Province. The company, founded by Antonino Mastellone in 1929, owned by Grupo Arcor and multinational Danone. Starting as a small fir..."
Argentina,Molinos Río de la Plata,https://en.wikipedia.org/wiki/Molinos_R%C3%ADo_de_la_Plata,,,Manual Check Required,"Molinos Río de la Plata (BCBA: MOLI) is Argentina's largest branded food products company. The company is a large exporter of sunflower processed oil and is one of Argentina's main exporters of bottled oil. Molinos also produces a wide range of packaged foods for domestic consumption, including bott..."
Argentina,SanCor,https://en.wikipedia.org/wiki/SanCor,http://www.sancor.com.ar/,,Confirmed,"SanCor is one of the leading dairy producers in Argentina (along with competitor La Serenísima). It holds one fifth of the total production in the country, and 90% of the Argentine exports of dairy products. It is a large cooperative made up many smaller ones, based on the Argentine ""central milk ba..."
Australia,The a2 Milk Company,https://en.wikipedia.org/wiki/The_a2_Milk_Company,https://thea2milkcompany.com,,Confirmed,"The a2 Milk Company Limited (previously known as A2 Corporation) is a New Zealand company that commercialises intellectual property relating to A1 protein-free milk that is sold under the a2 and a2 Milk brands, as well as the milk and related products such as infant formula. It is cross-listed in bo..."
Australia,Arnott's Group,https://en.wikipedia.org/wiki/Arnott%27s_Group,http://www.arnotts.com.au/,,Confirmed,"Arnott's Group is an Australian producer of biscuits and snack food. Founded in 1865 by William Arnott, the first factory was Arnott's Steam Biscuit Factory in Newcastle, New South Wales. The company undertook several mergers and acquisitions in the 1950s and 1960s, Arnott's was acquired by the Camp..."
Australia,Baiada Poultry,https://en.wikipedia.org/wiki/Baiada_Poultry,https://www.baiada.com.au/,,Confirmed,"Baiada Poultry is a privately owned company that produces poultry products throughout Australia. Its operations include broiler and breeder farms, hatcheries, processing plants, feedmilling and protein recovery. Its head office is at Pendle Hill, New South Wales with plants in Beresfield, Tamworth, ..."
Australia,Bakers Delight,https://en.wikipedia.org/wiki/Bakers_Delight,https://www.bakersdelight.com.au/,,Confirmed,"Bakers Delight is an Australian-owned multinational bakery franchise chain, with franchisors in Australia, New Zealand, Canada and the United States. There are over 700 stores worldwide, with Australia having over 500 stores."
Australia,Balfours,https://en.wikipedia.org/wiki/Balfours,https://balfours.com.au/,,Confirmed,"Balfours is an Australian bakery which produces pies, pasties and cakes for sale in South Australia, Victoria, and New South Wales."
